drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Venetoclax,BCL-2 inhibitor,"Inhibits the BCL-2 protein, a key regulator of apoptosis, to promote cancer cell death.",1.0,10.0,nM,Primarily used for chronic lymphocytic leukemia.
Auranofin,Thioredoxin reductase inhibitor,"Inhibits thioredoxin reductase, thus affecting cell survival pathways.",1.0,2.0,µM,Traditionally used for rheumatoid arthritis.
Arsenic trioxide,APL treatment,Induces apoptosis and promotes the degradation of the promyelocytic leukemia protein.,1.0,2.0,µM,Effective against acute promyelocytic leukemia (APL).
Itraconazole,Antifungal agent,"Modulates Hedgehog signaling pathway, impacting cell proliferation and survival.",1.0,10.0,µM,Known to exhibit potent anticancer properties in various settings.
Chloroquine or Hydroxychloroquine,Lysosomotropic agents,"Inhibits lysosomal enzyme activity, affecting autophagy and cell survival.",5.0,20.0,µM,Commonly used as antimalarials and in autoimmune diseases.
Celecoxib,COX-2 inhibitor,"Inhibits cyclooxygenase-2 (COX-2) enzyme, reducing inflammatory processes.",10.0,50.0,µM,Used in pain relief and cancer prevention studies.
Disulfiram,Alcohol dehydrogenase inhibitor,"Inhibits aldehyde dehydrogenase, inducing oxidative stress in cancer cells.",1.0,10.0,µM,Traditionally used to support the treatment of chronic alcoholism.
Ruxolitinib,JAK1/2 inhibitor,"Inhibits the Janus kinase (JAK) pathway, impacting cell proliferation and survival.",1.0,10.0,µM,Predominantly used in myelofibrosis.
Metformin,Antidiabetic agent,Reduces hepatic glucose production; shown to affect cancer cell metabolism.,1.0,10.0,mM,Primarily used for the treatment of type 2 diabetes.
Lovastatin,HMG-CoA reductase inhibitor,"Inhibits the HMG-CoA reductase enzyme, impacting cholesterol synthesis and cell survival.",1.0,10.0,µM,Widely used as a cholesterol-lowering drug.
Thalidomide,Immunomodulatory drug,"Anti-angiogenic and immune-modifying effects, impact on cancer cell survival.",1.0,10.0,µM,"Notorious for birth defects, but used in multiple myeloma under strict control."
Minocycline,Tetracycline antibiotic,Inhibits protein synthesis in bacteria; has anti-inflammatory and apoptosis-inhibiting properties.,10.0,20.0,µM,Used off-label for various inflammatory conditions.
Clofazimine,Anti-leprosy drug,Intercalates into DNA and inhibits mycobacterial growth; may have anticancer properties.,1.0,10.0,µM,Shows activity against leprosy and certain chronic inflammatory conditions.
Promethazine,Antihistamine,"Antagonizes histamine H1 receptors, impacting allergic responses; shows cytotoxicity in cancers.",10.0,30.0,µM,Mainly used for allergic conditions and as a sedative.
Fenretinide (4-HPR),Synthetic retinoid,Induces differentiation and apoptosis in cancer cells through RAR activation.,1.0,10.0,µM,Extensively studied in clinical trials for various cancers.
Quinacrine,Antimalarial drug,Interferes with DNA replication and transcription mechanisms.,1.0,10.0,µM,Used in malaria and certain skin conditions.
Albendazole,Anti-parasitic agent,Disrupts microtubule function and cell division.,1.0,10.0,µM,Commonly used for parasitic worm infestations.
Riluzole,ALS treatment,"Modulates glutamate release, benefiting conditions like ALS and offering potential anticancer effects.",1.0,10.0,µM,Approved for Amyotrophic Lateral Sclerosis (ALS).
Ciclopirox,Antifungal agent,"Chelates iron, interrupting fungal cell processes; shows potential anticancer effects.",1.0,10.0,µM,Traditionally used in fungal infections.
Propranolol,Beta blocker,"Blocks beta-adrenergic receptors, impacting heart rate, and exhibits anti-proliferative effects.",10.0,50.0,µM,"Used in cardiovascular disorders, with promising data in oncology."
